Species,Species_Label,FOFEM_sppCD,GCBM_GenSppCD,TreeType,DUFF_LITTER_BIOMASS_Ref,DUFF_BD,LITTER_BD,TREE_BIOMASS_Ref,BIOMASS_DBH_Bwood1,BIOMASS_DBH_Bwood2,BIOMASS_DBH_Bbark1,BIOMASS_DBH_Bbark2,BIOMASS_DBH_Bbranches1,BIOMASS_DBH_Bbranches2,BIOMASS_DBH_Bfoliage1,BIOMASS_DBH_Bfoliage2,BIOMASS_DBH-HT_Bwood1,BIOMASS_DBH-HT_Bwood2,BIOMASS_DBH-HT_Bwood3,BIOMASS_DBH-HT_Bbark1,BIOMASS_DBH-HT_Bbark2,BIOMASS_DBH-HT_Bbark3,BIOMASS_DBH-HT_Bbranches1,BIOMASS_DBH-HT_Bbranches2,BIOMASS_DBH-HT_Bbranches3,BIOMASS_DBH-HT_Bfoliage1,BIOMASS_DBH-HT_Bfoliage2,BIOMASS_DBH-HT_Bfoliage3
A,A - poplar spp,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
AC,AC - poplar,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
ACB,ACB - balsam poplar,POBA,POBA,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
ACT,ACT - black cottonwood,POTRI,POTRI,hardwood,Woodall and Monleon 2008 (Elm/ash/cottonwood),126.0653067,49.01649791,ACT/DR - Ung 2008,0.046,2.4312,0.0074,2.4442,0.0086,2.7326,0.0114,2.086,0.0051,1.0697,2.2748,0.0009,1.3061,2.0109,0.0131,2.576,0,0.0224,1.8368,0
AT,AT - trembling aspen,POTRA,POTR,hardwood,Woodall and Monleon 2008 (Aspen/birch),196.5465455,76.40807027,AT - Ung 2008,0.0608,2.4735,0.0159,2.4123,0.0082,2.5139,0.0235,1.6656,0.0143,1.9369,1.0579,0.0063,2.0744,0.6691,0.015,2.9068,-0.6306,0.0284,1.602,0
AX,AX - poplar hybrid,POPULUS,POPULUS,hardwood,Woodall and Monleon 2008 (Average of Elm/ash/cottonwood & Aspen/birch),161.3059261,62.71228409,ACB - Lambert 2005,0.051,2.4529,0.0297,2.1131,0.012,2.4165,0.0276,1.6215,0.0117,1.7757,1.2555,0.018,1.8131,0.5144,0.0112,3.0861,-0.7164,0.0617,1.8615,-0.5375
B,B - true fir,ABIES,ABIES,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
BA,BA - amabilis (Pacific silver) fir,ABAM,ABAM,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BA - Ung 2008,0.0424,2.4289,0.0057,2.4786,0.0322,2.1313,0.0645,1.94,0.0315,1.8297,0.8056,0.0067,2.697,-0.3105,0.042,2.0313,0,0.0453,2.4867,-0.4982
BB,BB - balsam fir,ABBA,ABBA,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
BG,BG - grand fir,ABGR,ABGR,softwood,Woodall and Monleon 2008 (Spruce/fir),76.24788564,29.63415723,BB - Lambert 2005,0.0534,2.403,0.0115,2.3484,0.007,2.5406,0.084,1.6695,0.0294,1.8357,0.864,0.0053,2.0876,0.5842,0.0117,3.5097,-1.3006,0.1245,2.523,-1.123
